,inferno
59,#290b55
17,#f98e09
26,#e35933
48,#6c186e
64,#0d0829
16,#fb9606
12,#fcb216
4,#f1ec6d
22,#f06f20
27,#df5337
65,#09061f
43,#8a226a
7,#f6d746
41,#952667
2,#f3f68a
53,#4f0d6c
63,#120a32
69,#000004
3,#f1f179
35,#b93556
9,#f9c72f
49,#67166e
20,#f57b17
40,#9b2964
0,#fcffa4
1,#f8fb9a
57,#360961
19,#f78212
66,#060419
32,#c83f4b
8,#f8cf3a
42,#902568
52,#550f6d
14,#fca50a
61,#1c0c43
50,#61136e
24,#ea632a
31,#cc4248
60,#230c4c
5,#f3e55d
13,#fcaa0f
18,#f8890c
68,#010108
30,#d24644
15,#fb9d07
21,#f3761b
29,#d74b3f
46,#781c6d
55,#420a68
56,#3d0965
47,#721a6e
44,#84206b
51,#5a116e
10,#fac026
58,#2f0a5b
36,#b3325a
33,#c33b4f
62,#160b39
23,#ed6925
25,#e75e2e
38,#a82e5f
39,#a22b62
45,#7f1e6c
11,#fbba1f
34,#bd3853
54,#490b6a
6,#f4dd4f
28,#db503b
37,#ad305d
67,#030210
